,Ball_Count,PKG_Dimension,PKG_Height,RTD_SETUP,tester,equip_id,Due_Date,Suggest_Date,Last_PM,Event_Code,Code,Semi_State_ID,Standard_work_time,Location,Status,PM_duration,Type,Freq,Cur,Due,warning,critical,handler,NOTE
1538,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0006,TW322SM-0346,2022-08-05 23:59:00,2022-08-04 23:59:00,2022-07-06 05:47:09.077,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0814,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0346,
1539,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0006,TW322SM-0346,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-07-06 05:47:09.090,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0814,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0346,
1540,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0045,TW322SM-0370,2022-08-15 23:59:00,2022-08-14 23:59:00,2022-07-16 17:50:35.220,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0927,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0370,
1541,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0045,TW322SM-0370,2022-08-15 23:59:00,2022-08-14 23:59:00,2022-07-16 17:50:35.220,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0927,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0370,
1542,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0045,TW322SM-0370,2022-08-15 23:59:00,2022-08-14 23:59:00,2022-07-16 17:50:35.233,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0927,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0370,
1543,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0045,TW322SM-0370,2022-08-15 23:59:00,2022-08-14 23:59:00,2022-05-17 17:31:45.340,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P0927,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0370,
1544,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0045,TW322SM-0370,2022-07-31 23:59:00,2022-07-30 23:59:00,2022-07-16 17:50:35.233,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0927,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0370,
1545,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0085,SM3316-0085,2022-08-15 23:59:00,2022-08-14 23:59:00,2022-07-16 17:53:24.710,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1319,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0403,
1546,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0164,SM3316-0164,2022-07-19 23:59:00,2022-07-18 23:59:00,2022-06-19 19:18:11.433,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1721,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0454,
1547,400B,400/2255FBGA12.75X16.98,0.61-0.61,400/2255FBGA12.75X16.98_64-128X_0.61-0.61_1312,SM3316-0120,TW322SM-0420,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 17:24:41.730,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1427,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0420,
1548,400B,400/2255FBGA12.75X16.98,0.61-0.61,400/2255FBGA12.75X16.98_64-128X_0.61-0.61_1312,SM3316-0120,TW322SM-0420,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 17:24:41.777,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P1427,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0420,
1549,400B,400/2255FBGA12.75X16.98,0.61-0.61,400/2255FBGA12.75X16.98_64-128X_0.61-0.61_1312,SM3316-0120,TW322SM-0420,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 17:24:41.810,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P1427,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0420,
