,Ball_Count,PKG_Dimension,PKG_Height,RTD_SETUP,tester,equip_id,Due_Date,Suggest_Date,Last_PM,Event_Code,Code,Semi_State_ID,Standard_work_time,Location,Status,PM_duration,Type,Freq,Cur,Due,warning,critical,handler,NOTE
0,200B,200/264FBGA10X14.5,1.0-1.05,200/264FBGA10X14.5_256X_1.0-1.05_1311,SM3316-0059,SM3316-0059,2022-07-23 23:59:00,2022-07-22 23:59:00,2022-06-23 03:26:06.327,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1121,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0389,
1,376B,376/1156FBGA14X14,0.66-0.71,376/1156FBGA14X14_64-128X_0.66-0.71_1056,SM3016-0146,SM3016-0146,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 12:28:09.147,CLEAN AND INSPECTION,CLEAN AND INSPECTION,ENGINEERING         ,0.5,T01-TFC1-P0211,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0225,
2,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-06-24 08:07:53.833,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0023,
3,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-06-24 08:07:53.850,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0023,
4,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-06-24 08:07:53.863,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0023,
5,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-07-09 02:37:10.373,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0023,
6,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 06:16:19.663,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0140,
7,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 06:16:19.680,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0140,
8,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 06:16:19.680,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0140,
9,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-07-06 02:54:57.230,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0140,
10,896B,896/900BBGA31X31,3.93-4.2,896/900BBGA31X31_4-32X_3.93-4.2_ION_1022,J750-0029,M6542AD-0065,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 18:11:04.410,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0816,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,M6542AD-0065,
11,896B,896/900BBGA31X31,3.93-4.2,896/900BBGA31X31_4-32X_3.93-4.2_ION_1022,J750-0029,M6542AD-0065,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 18:11:04.423,PM 1 MONTH,M6542AD PM 1 MONTH,PRODUCTIVE          ,6.0,T01-TFC1-P0816,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,M6542AD-0065,
12,896B,896/900BBGA31X31,3.93-4.2,896/900BBGA31X31_4-32X_3.93-4.2_ION_1022,J750-0029,M6542AD-0065,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 18:11:04.440,PM 1 MONTH,Advantest 6542 PM 1 MONTH,PRODUCTIVE          ,6.0,T01-TFC1-P0816,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,M6542AD-0065,
13,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_DISSIPATIVE_1112,SM3016-0168,SM3016-0168,2022-08-06 23:59:00,2022-08-05 23:59:00,2022-07-07 14:59:25.700,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0303,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0221,
14,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-13 23:59:00,2022-08-11 23:59:00,2022-07-14 20:28:36.643,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0212,
15,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-13 23:59:00,2022-08-11 23:59:00,2022-07-14 20:28:36.660,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0212,
16,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-13 23:59:00,2022-08-11 23:59:00,2022-07-14 20:28:36.677,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0212,
17,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-05-14 02:02:42.890,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0212,
18,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-07-29 23:59:00,2022-07-28 23:59:00,2022-07-14 20:28:36.677,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0212,
19,315B,315/315FBGA12.4X15,1.3-1.3,315/315FBGA12.4X15_256X_1.3-1.3_1329,SM3316-0090,SM3316-0090,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 14:44:10.327,CLEAN AND INSPECTION,CLEAN AND INSPECTION,STANDBY             ,0.5,T01-TFC1-P0616,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0299,
20,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-23 23:59:00,2022-07-20 23:59:00,2022-06-23 20:54:47.180,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
21,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-29 23:59:00,2022-07-28 23:59:00,2021-07-29 00:11:12.200,Ionizer Pin change,Ionizer Pin change,PRODUCTIVE          ,0.5,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0187,
22,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-23 23:59:00,2022-07-20 23:59:00,2022-06-23 20:54:47.197,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
23,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-23 23:59:00,2022-07-20 23:59:00,2022-06-23 20:54:47.197,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
24,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-07-06 02:55:43.270,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0187,
25,134B,134/170FBGA10X11.5,0.65-1.1T,134/170FBGA10X11.5_128X_0.65-1.1T_ION_0740,SMG2P-0115,SMG2P-0115,2022-07-30 23:59:00,2022-07-29 23:59:00,2022-06-30 03:41:19.733,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0717,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322HM-0060,
26,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0150,TW322SM-0442,2022-07-31 23:59:00,2022-07-28 23:59:00,2022-07-01 01:39:21.017,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1521,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0442,
27,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0150,TW322SM-0442,2022-07-31 23:59:00,2022-07-28 23:59:00,2022-07-01 01:39:21.033,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P1521,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0442,
28,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0150,TW322SM-0442,2022-07-31 23:59:00,2022-07-28 23:59:00,2022-07-01 01:39:21.033,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P1521,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0442,
29,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0150,TW322SM-0442,2022-07-29 23:59:00,2022-07-28 23:59:00,2022-04-30 14:22:56.050,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P1521,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0442,
30,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0150,TW322SM-0442,2022-08-01 23:59:00,2022-07-28 23:59:00,N/A,PM 6 MONTH,TECHWING SEMI ANNUAL PM,PRODUCTIVE          ,8.0,T01-TFC1-P1521,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0442,
31,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0150,TW322SM-0442,2022-07-31 23:59:00,2022-07-28 23:59:00,2022-07-16 04:47:06.170,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P1521,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0442,
32,134B,134/170FBGA10X11.5,0.65-1.1T,134/170FBGA10X11.5_128X_0.65-1.1T_ION_0740,SMG2P-0110,SMG2P-0110,2022-08-07 23:59:00,2022-08-06 23:59:00,2022-07-08 03:52:02.500,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0725,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322HM-0067,
33,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_DISSIPATIVE_1112,SM3016-0156,SM3016-0156,2022-08-03 23:59:00,2022-08-02 23:59:00,2022-07-04 06:53:21.683,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0209,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0233,
34,496B,496/756FBGA14X12.4,0.58-0.67,496/756FBGA14X12.4_64-128X_0.58-0.67_ION_1210,SM3316-0077,SM3316-0077,2022-07-29 23:59:00,2022-07-28 23:59:00,2022-06-29 15:16:27.413,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0615,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0288,
35,640B,640/968FBGA6.8X13.1,1.01-1.01,640/968FBGA6.8X13.1_128X_1.01-1.01_1328,SM3316-0140,SM3316-0140,2022-08-04 23:59:00,2022-08-03 23:59:00,2022-07-05 17:41:32.710,CLEAN AND INSPECTION,CLEAN AND INSPECTION,STANDBY             ,0.5,T01-TFC1-P1220,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0432,
36,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_DISSIPATIVE_1112,SM3016-0101,SM3016-0101,2022-08-16 23:59:00,2022-08-15 23:59:00,2022-07-17 06:26:05.383,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0216,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0171,
37,200B,200/264FBGA10X14.5,1.14-1.14,200/264FBGA10X14.5_128X_1.14-1.14_1126,SM3016-0089,SM3016-0089,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-03 05:07:53.167,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0610,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0098,
38,200B,200/264FBGA10X14.5,0.95-0.95,200/264FBGA10X14.5_256X_0.95-0.95_1311,SM3316-0047,TW322SM-0378,2022-08-13 23:59:00,2022-08-12 23:59:00,2022-07-14 23:36:03.237,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1116,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0378,
39,200B,200/264FBGA10X14.5,0.95-0.95,200/264FBGA10X14.5_256X_0.95-0.95_1311,SM3316-0047,TW322SM-0378,2022-08-13 23:59:00,2022-08-12 23:59:00,2022-07-14 23:36:03.237,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P1116,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0378,
40,200B,200/264FBGA10X14.5,0.95-0.95,200/264FBGA10X14.5_256X_0.95-0.95_1311,SM3316-0047,TW322SM-0378,2022-08-13 23:59:00,2022-08-12 23:59:00,2022-07-14 23:36:03.253,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P1116,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0378,
41,200B,200/264FBGA10X14.5,0.95-0.95,200/264FBGA10X14.5_256X_0.95-0.95_1311,SM3316-0047,TW322SM-0378,2022-07-29 23:59:00,2022-07-28 23:59:00,2022-07-14 23:36:03.253,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P1116,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0378,
42,441B,441/441FBGA14X14,1.1-1.1,441/441FBGA14X14_64-128X_1.1-1.1_1291,SM3316-0083,SM3316-0083,2022-08-14 23:59:00,2022-08-13 23:59:00,2022-07-15 13:10:58.880,CLEAN AND INSPECTION,CLEAN AND INSPECTION,STANDBY             ,0.5,T01-TFC1-P0622,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0147,
43,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0088,SM3016-0088,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-06-25 17:07:44.270,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0212,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0143,
44,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-06-25 23:26:36.560,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0422,
45,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-08-03 23:59:00,2022-08-02 23:59:00,N/A,Ionizer Pin change,Ionizer Pin change,PRODUCTIVE          ,0.5,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0422,
46,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-06-25 23:26:36.580,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0422,
47,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-06-25 23:26:36.580,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0422,
48,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-08-03 23:59:00,2022-08-02 23:59:00,N/A,PM 1 YEAR,TECHWING ANNUAL PM,PRODUCTIVE          ,12.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0422,
49,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-04-26 00:46:10.657,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0422,
50,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-07-28 23:59:00,2022-07-24 23:59:00,2022-01-27 02:22:02.240,PM 6 MONTH,TECHWING SEMI ANNUAL PM,PRODUCTIVE          ,8.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0422,
51,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,TW322SM-0422,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-07-10 05:11:50.053,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0422,
52,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,SM3316-0044,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-03 14:30:56.670,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0926,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0369,
53,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,SM3316-0044,2022-08-14 23:59:00,2022-08-13 23:59:00,2021-08-14 06:34:51.577,PM 1 YEAR,ANNUAL PREVENTIVE MAINT,PRODUCTIVE          ,12.0,T01-TFC1-P0926,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0369,
54,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,SM3316-0044,2022-08-14 23:59:00,2022-08-13 23:59:00,N/A,PM 6 MONTH,6 MONTH PREVENTIVE MAINT,PRODUCTIVE          ,8.0,T01-TFC1-P0926,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0369,
55,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0110,SM3316-0110,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-03 17:59:09.680,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0101,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0239,
56,496B,496/756FBGA14X12.4,0.63-0.96,496/756FBGA14X12.4_64X_0.63-0.96_SMCK00163_1388_SLT-A,SM3016-0114,SM3016-0114,2022-08-13 23:59:00,2022-08-12 23:59:00,2022-07-14 14:04:08.080,CLEAN AND INSPECTION,CLEAN AND INSPECTION,STANDBY             ,0.5,T01-TFC1-P0324,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0183,
57,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,SM3316-0132,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-06-25 23:26:48.703,CLEAN AND INSPECTION,CLEAN AND INSPECTION,NON-SCHEDULED       ,0.5,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0422,
58,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,SM3316-0132,2022-08-03 23:59:00,2022-08-02 23:59:00,N/A,PM 1 YEAR,ANNUAL PREVENTIVE MAINT,NON-SCHEDULED       ,12.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0422,
59,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_256X_0.8-0.8_1311,SM3316-0132,SM3316-0132,2022-08-03 23:59:00,2022-08-02 23:59:00,N/A,PM 6 MONTH,6 MONTH PREVENTIVE MAINT,NON-SCHEDULED       ,8.0,T01-TFC1-P1525,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0422,
60,496B,496/756FBGA14X12.4,0.58-0.67,496/756FBGA14X12.4_64-128X_0.58-0.67_ION_1210,SM3316-0151,SM3316-0151,2022-08-15 23:59:00,2022-08-14 23:59:00,2022-07-16 00:24:49.440,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1520,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0443,
